doc_id,text,
156,Erzurum'da heyelan... Dağdan kopan kayalar panik yarattı! https://t.co/apxDGtesRr https://t.co/xtYHNK0saP,
157,"Okulda skandal! Kız öğrencilere cinsel içerikli film izletip, istismarda bulundu... https://t.co/IkzPfhD6ml https://t.co/LX81K5pW3o",
158,Yozgat'ta skandal cinayet! 30 yıllık eşini uykusunda öldürdü... https://t.co/azN6iETCuA https://t.co/2TQPTAQt9p,
159,Site sakinleri fuhuş iddiası ile ayaklandı https://t.co/QP8kpBo32M https://t.co/yrO7pBkx2M,
160,Sivas'ta ilginç olay! 130 yıl sonra ilk defa gelin verdiler... https://t.co/PaPo6HYaCk https://t.co/31gGVpCOL6,
161,Okan Bayülgen'den tiyatro oyunlarına milli yas ertelemesi... https://t.co/TYdVKIvBdZ https://t.co/b65YvveePB,
162,Ölüm teğet geçti... Saliselerle kurtuldu! https://t.co/hCVdb5Mbmf https://t.co/0GQrwI7JDc,
163,Atatürk Havalimanı'nda seçim hazırlıkları başladı... https://t.co/SrA90PY6Vd https://t.co/nh5UlmnSUx,
164,Mardin'de PKK/KCK operasyonu: 12 gözaltı https://t.co/3QTTQ8whUi https://t.co/6proFnVODR,
165,İstanbul'da DEAŞ operasyonu: 54 gözaltı https://t.co/YTYnYOT036 https://t.co/wjdKkU8wfQ,
166,İtirafçı FETÖ'cü açıkladı: Darbe çağrısı o programdan yapıldı... https://t.co/j25B49PisP https://t.co/0VIgwm3QPW,
167,FETÖ elebaşı için yaptırılmıştı! Devlete geçmesi için hazırlanan iddianame... https://t.co/yBfd5CKqIL https://t.co/ATywKtxmUU,
168,Kılıçdaroğlu: Kanlı Pazartesi unutacağımız günlerden biri değil... https://t.co/zHYlhzn887 https://t.co/y9hyT2n5I2,
169,"İnce'den yeni vaatler: Passolig kalkacak, ücretsiz sağlık, her eve bir bağış... https://t.co/zrQMZasJCB https://t.co/pGcgycYWaQ",
170,"Cumhurbaşkanı Erdoğan'dan '24 Haziran sonrası' yanıtı: A,B,C planlarımız var... https://t.co/73wlAgcezF https://t.co/97E2YSycpc",
171,Yıldırım'dan İnce'ye: Yeni mi aklına geldi? https://t.co/eYIo1y1wSO https://t.co/m7uL2nrGp4,
172,CHP'de aday mesaisi... İşte sürpriz adaylar... https://t.co/rpG9d3iZzX https://t.co/clUxY6FCxs,
173,Anlaşma imzalandı! ABD'deki Zeugma parçaları Türkiye'ye getiriliyor... https://t.co/rV7nb4L1ag https://t.co/uZ0s9EYEUP,
174,Korkunç ölüm! Selfie uğruna bebeklerinden oldular... https://t.co/E9iFv3hGaZ https://t.co/dACOPRcXzZ,
175,"SONDAKİKA!
Cumhurbaşkanı Recep Tayyip Erdoğan, Suudi Arabistan Kralı Selman bin Abdülaziz Al Suud ile telefonla görüştü. Görüşmede, Filistin'deki son gelişmeler ele alındı. https://t.co/wGHGTgOonW",
176,EPDK 10 şirkete lisans verdi https://t.co/hKYN5Q0a2u https://t.co/d8HNkk2Ljs,
177,Tayvan'ın eski liderine 4 ay hapis cezası https://t.co/HVBsrc0NYn https://t.co/go5gTPDrho,
178,Atatürk Havalimanı'nda trajik son! Kanser tedavisi için gidiyordu... https://t.co/w5Z4dlkBfE https://t.co/9bsnta52og,
179,"#NedirNeDeğildir başladı...
@afsinyurdakul moderatörlüğünde @Ahmet_K_Han, @Arastirma ve @ersoyakif1'in konukları @ilterturan9 ve @cetiner_cetin https://t.co/7dY1QuWoWS",
180,ÖSYM yayımladı... KPSS'ye girecekler dikkat! https://t.co/yyJDRqamTF https://t.co/MzUS8uCefM,
181,O ülkede ehliyetler artık cep telefonunda... https://t.co/srHVoQbnw3 https://t.co/GVyQA23nZR,
182,Şubat ayı işsizlik oranı açıklandı https://t.co/UB9qaOEMW8 https://t.co/MsdBaQE6M7,
183,Donald Trump'tan ramazan mesajı... https://t.co/Ri5nX8YQzg https://t.co/yF7g7DYw7X,
184,Öğretmenlerden S.O.S. ekibi kuruluyor https://t.co/vy9Oq1cbdD https://t.co/WdRHEmRsna,
185,Çanakkale'de göçmen teknesi battı: 3'ü çocuk 7 ölü https://t.co/p5nd1MjGmv https://t.co/N75K0kRycx,
186,Erdoğan ile May'den ortak açıklama... https://t.co/ucjJHUNVsV https://t.co/ymsZ0sF4cT,
187,11 ayın sultanı Ramazan geldi! İlk sahura kalkılacak... https://t.co/UHgRKJxCOi https://t.co/G9qquSxTHk,
